source,side,series,period,title,url,date
금융위원회,en,household_loan,2025-12,"Household Loans, December 2025",https://www.fsc.go.kr/eng/pr010101/86046?srchCtgry=&curPage=4&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2026-01-14
금융위원회,en,household_loan,2025-11,"Household Loans, November 2025",https://www.fsc.go.kr/eng/pr010101/85822?srchCtgry=&curPage=5&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-12-10
금융위원회,en,household_loan,2025-10,"Household Loans, October 2025",https://www.fsc.go.kr/eng/pr010101/85635?srchCtgry=&curPage=6&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-11-13
금융위원회,en,household_loan,2025-09,"Household Loans, September 2025",https://www.fsc.go.kr/eng/pr010101/85414?srchCtgry=&curPage=6&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-10-16
금융위원회,en,household_loan,2025-08,"Household Loans, August 2025",https://www.fsc.go.kr/eng/pr010101/85263?srchCtgry=&curPage=6&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-09-10
금융위원회,en,household_loan,2025-07,"Household Loans, July 2025",https://www.fsc.go.kr/eng/pr010101/85095?srchCtgry=&curPage=7&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-08-13
금융위원회,en,household_loan,2025-06,"Household Loans, June 2025",https://www.fsc.go.kr/eng/pr010101/84898?srchCtgry=&curPage=7&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-07-09
금융위원회,en,household_loan,2025-05,"Household Loans, May 2025",https://www.fsc.go.kr/eng/pr010101/84743?srchCtgry=&curPage=7&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-06-11
금융위원회,en,household_loan,2025-04,"Household Loans, April 2025",https://www.fsc.go.kr/eng/pr010101/84558?srchCtgry=&curPage=8&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-05-14
금융위원회,en,household_loan,2025-03,"Household Loans, March 2025",https://www.fsc.go.kr/eng/pr010101/84336?srchCtgry=&curPage=8&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-04-10
금융위원회,en,household_loan,2025-02,"Household Loans, February 2025",https://www.fsc.go.kr/eng/pr010101/84127?srchCtgry=&curPage=8&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-03-12
금융위원회,en,household_loan,2025-01,"Household Loans, January 2025",https://www.fsc.go.kr/eng/pr010101/83994?srchCtgry=&curPage=8&srchKey=&srchText=&srchBeginDt=&srchEndDt=,2025-02-12
