ko_term,margin,pos_pass,pos_total,neg_pass,neg_total
가쇄,0.20162302255630493,2,3,3,3
간주,0.4262534976005554,3,3,3,3
공모,0.3120008111000061,3,3,2,3
공채,0.25728702545166016,3,3,2,3
기세,0.3096517026424408,2,3,3,3
단주,0.43206986784935,3,3,2,3
대권,0.29638487100601196,3,3,3,3
빅뱅,0.279725044965744,2,3,3,3
사모,0.35929134488105774,3,3,3,3
상장,0.3154755234718323,3,3,3,3
신탁,0.1480676531791687,3,3,0,3
주권,0.44361215829849243,3,3,3,3
차주,0.3120853900909424,3,3,2,3
청산,0.405467689037323,3,3,3,3
콜,0.09285908937454224,2,3,2,3
매출,0.14797624945640564,2,3,3,3
모집,0.335249662399292,2,3,2,3
딜러,0.17022082209587097,2,3,3,3
옵션,0.25944891571998596,3,3,3,3
인수,0.19198548793792725,2,3,3,3
